user_id,date,exercise,weight,sets,reps
user1,2022-04-18,Back Squat,141,3,1
user1,2022-04-18,Deadlift,174,4,4
user1,2022-04-18,Bench Press,54,3,2
user1,2022-04-19,Back Squat,146,5,2
user1,2022-04-19,Deadlift,155,4,1
user1,2022-04-19,Bench Press,41,3,4
user1,2022-04-20,Back Squat,89,5,1
user1,2022-04-20,Deadlift,151,3,7
user1,2022-04-20,Bench Press,54,4,5
user1,2022-04-21,Back Squat,60,3,7
user1,2022-04-21,Deadlift,123,4,3
user1,2022-04-21,Bench Press,53,4,2
user1,2022-04-22,Back Squat,71,4,2
user1,2022-04-22,Deadlift,125,4,5
user1,2022-04-22,Bench Press,91,3,8
user1,2022-04-25,Back Squat,128,3,7
user1,2022-04-25,Deadlift,90,5,5
user1,2022-04-25,Bench Press,93,5,6
user1,2022-04-26,Back Squat,133,3,2
user1,2022-04-26,Deadlift,85,5,4
user1,2022-04-26,Bench Press,89,4,2
user1,2022-04-27,Back Squat,89,3,7
user1,2022-04-27,Deadlift,115,4,6
user1,2022-04-27,Bench Press,50,4,6
user1,2022-04-28,Back Squat,86,5,5
user1,2022-04-28,Deadlift,169,5,2
user1,2022-04-28,Bench Press,78,5,3
user1,2022-04-29,Back Squat,128,5,4
user1,2022-04-29,Deadlift,100,4,7
user1,2022-04-29,Bench Press,57,5,4
user1,2022-05-02,Back Squat,147,4,1
user1,2022-05-02,Deadlift,109,3,6
user1,2022-05-02,Bench Press,65,4,2
user1,2022-05-03,Back Squat,87,5,6
user1,2022-05-03,Deadlift,107,5,8
user1,2022-05-03,Bench Press,65,5,8
user1,2022-05-04,Back Squat,78,4,3
user1,2022-05-04,Deadlift,111,5,5
user1,2022-05-04,Bench Press,87,5,7
user1,2022-05-05,Back Squat,134,4,6
user1,2022-05-05,Deadlift,108,3,8
user1,2022-05-05,Bench Press,45,3,2
user1,2022-05-06,Back Squat,79,5,3
user1,2022-05-06,Deadlift,181,5,7
user1,2022-05-06,Bench Press,78,3,7
user1,2022-05-09,Back Squat,108,5,8
user1,2022-05-09,Deadlift,147,4,1
user1,2022-05-09,Bench Press,83,5,2
user1,2022-05-10,Back Squat,147,5,5
user1,2022-05-10,Deadlift,178,5,6
user1,2022-05-10,Bench Press,47,4,7
user1,2022-05-11,Back Squat,80,4,1
user1,2022-05-11,Deadlift,172,5,5
user1,2022-05-11,Bench Press,72,3,2
user1,2022-05-12,Back Squat,140,4,4
user1,2022-05-12,Deadlift,99,4,3
